,ActualWarrenty,CompanyWarranty,ContactForce,Cracks,CurrentFlow,DateTime,DeviceCategory,DeviceSpeed,DynamicAcceleration,EnvTemperature,HeatGenerated,Humidity,ImpactAcceleration,LateralAcceleration,Latitude,Longitude,Noofdevices,RepairedNo,Strain,StructureDistortion,StructureMovement,TransverseDeformation,UsagePerDay,VerticalContactForce,VerticalDisplacement,Vibration:,Voltage,WindSpeed,category
0,17,1,4984,1,16,2016-12-08,Diamond Tools,1188,11,42,94,54,6,200,19,74,42,2,7,7,5,10,23,1654,39,130,177,16,Power Tools
1,25,1,9361,0,16,2016-12-08,Drilling and Demolition Tools,1163,16,35,52,99,12,94,33,16,29,4,1,1,5,10,15,1859,43,136,270,17,Power Tools
2,10,1,4766,0,16,2016-12-08,Measuring Tools,1083,222,34,60,74,28,6,83,84,33,5,3,4,1,7,17,1686,42,20,185,11,Power Tools
3,32,1,7151,0,16,2016-12-08,Cordless Power Tools,1607,189,23,72,68,5,50,75,121,23,2,7,6,2,5,15,1765,27,162,224,5,Power Tools
4,31,1,5925,1,16,2016-12-08,Fastening Systems,1334,15,24,51,35,6,135,31,81,0,0,7,6,4,3,17,1676,32,76,233,36,Power Tools
5,4,1,9934,0,16,2016-12-09,Diamond Tools,1143,12,37,86,49,7,38,37,19,37,5,3,3,0,5,15,1455,8,35,216,24,Power Tools
6,16,1,2994,0,16,2016-12-09,Drilling and Demolition Tools,1421,67,35,55,82,3,144,73,165,12,4,2,5,10,5,19,1468,22,176,191,46,Power Tools
7,5,1,1255,1,16,2016-12-09,Measuring Tools,872,220,57,51,71,7,238,5,159,5,0,4,0,3,4,2,1105,13,10,220,27,Power Tools
8,42,1,9677,1,16,2016-12-09,Cordless Power Tools,846,176,43,55,31,17,245,74,154,42,3,4,6,10,1,1,1313,41,201,239,34,Power Tools
9,23,1,5202,1,16,2016-12-09,Fastening Systems,597,161,39,84,94,20,9,67,44,22,3,5,10,0,10,20,1649,12,219,226,11,Power Tools
10,50,1,8387,1,16,2016-12-10,Diamond Tools,1290,172,57,44,93,20,55,34,156,1,3,9,3,9,10,12,1572,3,127,246,44,Power Tools
11,48,1,9181,1,16,2016-12-10,Drilling and Demolition Tools,1346,175,46,40,65,0,79,85,126,52,0,6,1,3,2,21,1563,48,138,260,34,Power Tools
12,15,1,6147,1,16,2016-12-10,Measuring Tools,749,216,23,72,73,23,82,23,19,39,2,4,2,6,0,24,1547,43,25,169,2,Power Tools
13,24,1,4235,0,16,2016-12-10,Cordless Power Tools,1559,226,36,80,58,6,128,17,27,38,1,10,7,10,0,16,1644,48,123,225,32,Power Tools
14,30,1,6180,1,16,2016-12-10,Fastening Systems,1036,110,27,98,30,22,243,66,48,43,0,10,4,2,4,24,1855,7,155,162,21,Power Tools
15,32,1,6201,0,16,2016-12-11,Diamond Tools,909,139,31,78,87,29,222,49,147,36,1,10,0,4,0,2,1589,4,100,249,4,Power Tools
16,42,1,7340,1,16,2016-12-11,Drilling and Demolition Tools,1590,145,41,91,69,16,109,90,77,2,3,2,1,8,4,3,1779,19,223,180,41,Power Tools
17,10,1,9711,1,16,2016-12-11,Measuring Tools,629,49,54,51,34,5,47,0,131,27,1,6,3,7,7,23,1587,26,102,225,4,Power Tools
18,36,1,8721,0,16,2016-12-11,Cordless Power Tools,1677,14,26,89,44,29,90,74,104,31,1,7,7,5,5,13,1472,28,180,264,16,Power Tools
19,36,1,6705,1,16,2016-12-11,Fastening Systems,579,73,50,91,61,24,69,81,151,26,3,2,3,6,3,22,1143,26,40,245,15,Power Tools
20,46,1,4046,0,16,2016-12-12,Diamond Tools,1748,217,36,61,38,9,156,27,54,0,5,4,6,9,6,11,1996,16,232,188,9,Power Tools
21,43,1,9903,1,16,2016-12-12,Drilling and Demolition Tools,1784,163,50,43,45,3,17,30,124,56,4,3,6,9,0,14,1970,44,202,256,23,Power Tools
22,46,1,1097,0,16,2016-12-12,Measuring Tools,1872,235,30,40,84,28,17,28,113,21,5,1,3,6,3,14,1300,5,136,176,40,Power Tools
23,20,1,9876,0,16,2016-12-12,Cordless Power Tools,1958,131,24,62,80,29,116,69,22,21,1,4,10,7,9,24,1670,8,144,182,4,Power Tools
24,25,1,1108,1,16,2016-12-12,Fastening Systems,1924,17,23,61,80,4,210,23,21,57,3,0,8,4,6,4,1664,2,27,256,39,Power Tools
25,19,1,7143,1,16,2016-12-13,Diamond Tools,1819,51,50,52,77,18,250,56,35,33,0,5,10,0,1,14,1694,13,213,267,36,Power Tools
26,4,1,4469,1,16,2016-12-13,Drilling and Demolition Tools,903,5,29,68,67,24,60,26,76,21,1,5,1,0,3,7,1578,31,224,186,43,Power Tools
27,12,1,4687,0,16,2016-12-13,Measuring Tools,903,250,40,66,85,0,110,85,61,35,1,8,10,5,3,6,1347,47,34,166,43,Power Tools
28,35,1,8567,0,16,2016-12-13,Cordless Power Tools,1809,46,51,90,44,26,210,56,169,51,4,10,2,8,1,19,1547,24,166,170,9,Power Tools
29,33,1,1060,0,16,2016-12-13,Fastening Systems,576,146,54,76,96,25,88,27,136,7,2,2,2,3,10,13,1785,10,61,193,46,Power Tools
30,4,1,5719,0,16,2016-12-14,Diamond Tools,531,49,49,64,51,10,173,63,169,58,0,6,8,8,1,23,1711,7,83,236,9,Power Tools
31,22,1,9224,1,16,2016-12-14,Drilling and Demolition Tools,1429,146,46,64,32,2,152,45,175,19,1,8,1,9,10,20,1961,12,92,163,29,Power Tools
32,43,1,6914,1,16,2016-12-14,Measuring Tools,1673,75,22,67,35,5,19,90,95,6,2,0,0,6,9,17,1338,50,41,185,27,Power Tools
33,15,1,9334,1,16,2016-12-14,Cordless Power Tools,1850,90,31,77,88,14,54,22,76,52,4,1,10,10,2,15,1175,22,249,257,4,Power Tools
34,28,1,8851,1,16,2016-12-14,Fastening Systems,822,186,58,60,50,15,57,47,85,28,5,10,1,10,1,3,1975,46,97,205,47,Power Tools
35,52,1,6209,0,16,2016-12-15,Diamond Tools,1192,122,55,73,95,17,28,46,91,21,0,3,2,5,9,9,1904,7,242,266,10,Power Tools
36,9,1,4350,1,16,2016-12-15,Drilling and Demolition Tools,1324,138,54,43,83,21,140,67,90,24,4,10,8,9,9,16,1087,10,124,216,21,Power Tools
37,21,1,5754,0,16,2016-12-15,Measuring Tools,1620,150,47,95,52,14,185,67,104,32,2,5,6,4,5,7,1577,27,179,223,1,Power Tools
38,6,1,7407,1,16,2016-12-15,Cordless Power Tools,1530,128,34,71,39,26,39,14,52,17,4,8,0,1,2,17,1889,14,89,202,44,Power Tools
39,20,1,6451,0,16,2016-12-15,Fastening Systems,634,128,28,83,54,11,72,11,103,53,4,5,4,0,4,19,1040,3,135,216,27,Power Tools
40,33,1,3845,0,16,2016-12-16,Diamond Tools,1801,206,20,45,47,21,234,65,127,35,1,0,9,4,8,24,1361,37,156,224,17,Power Tools
41,45,1,6886,1,16,2016-12-16,Drilling and Demolition Tools,702,1,44,69,87,13,172,18,132,44,0,9,2,9,3,18,1617,49,176,150,4,Power Tools
42,32,1,6277,1,16,2016-12-16,Measuring Tools,682,137,33,64,43,2,62,89,111,15,2,2,4,4,6,20,1378,35,238,206,21,Power Tools
43,22,1,6029,0,16,2016-12-16,Cordless Power Tools,1925,119,45,68,59,5,161,26,51,17,3,2,3,10,5,2,1922,48,245,249,48,Power Tools
44,14,1,8089,1,16,2016-12-16,Fastening Systems,1382,241,26,44,77,2,89,36,175,36,1,5,1,6,6,22,1751,28,167,197,37,Power Tools
45,31,1,8919,0,16,2016-12-17,Diamond Tools,671,44,42,94,78,6,77,51,97,7,2,7,5,9,0,11,1433,4,111,261,27,Power Tools
46,28,1,5670,1,16,2016-12-17,Drilling and Demolition Tools,1112,136,53,78,99,8,104,27,145,6,4,6,0,5,3,3,1195,19,98,222,49,Power Tools
47,19,1,9480,0,16,2016-12-17,Measuring Tools,1797,53,36,76,91,2,92,90,121,34,0,0,4,5,5,21,1984,18,145,203,45,Power Tools
48,1,1,4104,0,16,2016-12-17,Cordless Power Tools,1435,193,40,40,38,9,218,10,174,29,4,3,8,9,8,20,1497,4,20,263,20,Power Tools
49,18,1,3503,1,16,2016-12-17,Fastening Systems,1154,224,55,45,97,26,98,86,47,29,0,2,3,10,2,23,1050,8,244,208,10,Power Tools
50,23,1,6793,0,16,2016-12-18,Diamond Tools,1986,118,46,50,47,25,157,73,51,21,3,2,6,5,6,21,1898,36,173,160,7,Power Tools
51,38,1,9438,1,16,2016-12-18,Drilling and Demolition Tools,1726,173,21,45,82,0,232,27,19,21,1,9,8,6,1,21,1411,28,199,202,30,Power Tools
